views,users,p
1,4,9.524489844512704e-05
2,1,2.381122461128176e-05
3,4,9.524489844512704e-05
4,5,0.00011905612305640879
5,18,0.00042860204300307163
6,31,0.0007381479629497345
7,70,0.001666785722789723
8,100,0.002381122461128176
9,200,0.004762244922256352
10,235,0.005595637783651213
11,333,0.007929137795556826
12,383,0.009119699026120913
13,445,0.010595994952020382
14,500,0.011905612305640878
15,537,0.012786627616258305
16,545,0.012977117413148559
17,427,0.01016739290901731
18,437,0.010405505155130128
19,418,0.009953091887515775
20,395,0.009405433721456295
21,338,0.008048193918613234
22,325,0.007738647998666572
23,317,0.007548158201776317
24,342,0.008143438817058361
25,330,0.00785770412172298
26,365,0.008691096983117841
27,372,0.008857775555396814
28,422,0.010048336785960902
29,449,0.010691239850465509
30,469,0.011167464342691145
31,434,0.010334071481296283
32,443,0.01054837250279782
33,459,0.010929352096578327
34,449,0.010691239850465509
35,485,0.011548443936471652
36,431,0.010262637807462437
37,435,0.010357882705907566
38,433,0.010310260256685001
39,421,0.01002452556134962
40,438,0.01042931637974141
41,443,0.01054837250279782
42,403,0.009595923518346549
43,388,0.009238755149177323
44,397,0.009453056170678858
45,402,0.009572112293735266
46,413,0.009834035764459367
47,373,0.008881586780008097
48,414,0.009857846989070648
49,394,0.009381622496845012
50,398,0.009476867395290139
51,395,0.009405433721456295
52,393,0.009357811272233731
53,370,0.008810153106174251
54,363,0.008643474533895279
55,399,0.009500678619901422
56,402,0.009572112293735266
57,371,0.008833964330785532
58,364,0.00866728575850656
59,356,0.008476795961616306
60,348,0.008286306164726052
61,327,0.007786270447889135
62,398,0.009476867395290139
63,336,0.00800057146939067
64,344,0.008191061266280926
65,353,0.00840536228778246
66,336,0.00800057146939067
67,325,0.007738647998666572
68,356,0.008476795961616306
69,303,0.007214801057218373
70,313,0.00745291330333119
71,324,0.00771483677405529
72,322,0.007667214324832726
73,304,0.007238612281829654
74,328,0.007810081672500416
75,306,0.007286234731052218
76,251,0.005976617377431721
77,300,0.0071433673833845275
78,301,0.007167178607995809
79,278,0.006619520441936329
80,282,0.006714765340381456
81,314,0.007476724527942472
82,284,0.006762387789604019
83,300,0.0071433673833845275
84,263,0.006262352072767103
85,291,0.006929066361882992
86,281,0.006690954115770174
87,260,0.006190918398933257
88,271,0.0064528418696573565
89,244,0.005809938805152749
90,235,0.005595637783651213
91,254,0.006048051051265567
92,271,0.0064528418696573565
93,218,0.0051908469652594234
94,240,0.005714693906707622
95,257,0.006119484725099412
96,218,0.0051908469652594234
97,231,0.005500392885206086
98,253,0.006024239826654285
99,203,0.004833678596090197
100,206,0.004905112269924042
101,193,0.004595566349977379
102,208,0.004952734719146605
103,197,0.004690811248422506
104,167,0.003976474510084054
105,189,0.004500321451532252
106,176,0.00419077553158559
107,171,0.004071719408529181
108,203,0.004833678596090197
109,184,0.004381265328475843
110,171,0.004071719408529181
111,178,0.004238397980808153
112,157,0.003738362263971236
113,153,0.003643117365526109
114,172,0.004095530633140463
115,152,0.003619306140914827
116,159,0.0037859847131937996
117,176,0.00419077553158559
118,178,0.004238397980808153
119,136,0.0032383265471343193
120,153,0.003643117365526109
121,120,0.002857346953353811
122,132,0.003143081648689192
123,136,0.0032383265471343193
124,137,0.003262137771745601
125,124,0.002952591851798938
126,127,0.0030240255256327835
127,130,0.0030954591994666286
128,123,0.002928780627187656
129,116,0.002762102054908684
130,122,0.0029049694025763744
131,116,0.002762102054908684
132,130,0.0030954591994666286
133,125,0.0029764030764102196
134,117,0.002785913279519966
135,108,0.00257161225801843
136,108,0.00257161225801843
137,99,0.002357311236516894
138,108,0.00257161225801843
139,81,0.0019287091935138224
140,95,0.002262066338071767
141,93,0.0022144438888492034
142,87,0.002071576541181513
143,92,0.0021906326642379217
144,85,0.0020239540919589493
145,87,0.002071576541181513
146,85,0.0020239540919589493
147,71,0.0016905969474010048
148,84,0.0020001428673476675
149,77,0.0018334642950686953
150,75,0.0017858418458461319
151,81,0.0019287091935138224
152,82,0.001952520418125104
153,89,0.0021191989904040765
154,68,0.0016191632735671597
155,70,0.001666785722789723
156,65,0.0015477295997333143
157,72,0.0017144081720122865
158,63,0.0015001071505107509
159,64,0.0015239183751220326
160,48,0.0011429387813415245
161,55,0.0013096173536204967
162,47,0.0011191275567302426
163,52,0.0012381836797866514
164,59,0.0014048622520656238
165,65,0.0015477295997333143
166,40,0.0009524489844512703
167,59,0.0014048622520656238
168,50,0.001190561230564088
169,47,0.0011191275567302426
170,46,0.0010953163321189608
171,37,0.0008810153106174251
172,49,0.0011667500059528062
173,37,0.0008810153106174251
174,35,0.0008333928613948615
175,35,0.0008333928613948615
176,46,0.0010953163321189608
177,42,0.0010000714336738338
178,45,0.0010715051075076791
179,25,0.000595280615282044
180,30,0.0007143367383384528
181,40,0.0009524489844512703
182,40,0.0009524489844512703
183,33,0.000785770412172298
184,30,0.0007143367383384528
185,37,0.0008810153106174251
186,31,0.0007381479629497345
187,33,0.000785770412172298
188,33,0.000785770412172298
189,21,0.0005000357168369169
190,31,0.0007381479629497345
191,28,0.0006667142891158892
192,25,0.000595280615282044
193,23,0.0005476581660594804
194,29,0.000690525513727171
195,24,0.0005714693906707622
196,16,0.00038097959378050815
197,18,0.00042860204300307163
198,25,0.000595280615282044
199,14,0.0003333571445579446
200,14,0.0003333571445579446
201,27,0.0006429030645046075
202,18,0.00042860204300307163
203,21,0.0005000357168369169
204,18,0.00042860204300307163
205,19,0.0004524132676143534
206,14,0.0003333571445579446
207,28,0.0006667142891158892
208,15,0.0003571683691692264
209,17,0.0004047908183917899
210,20,0.00047622449222563517
211,12,0.0002857346953353811
212,17,0.0004047908183917899
213,17,0.0004047908183917899
214,14,0.0003333571445579446
215,13,0.00030954591994666284
216,18,0.00042860204300307163
217,19,0.0004524132676143534
218,20,0.00047622449222563517
219,15,0.0003571683691692264
220,12,0.0002857346953353811
221,13,0.00030954591994666284
222,15,0.0003571683691692264
223,10,0.00023811224611281758
224,8,0.00019048979689025407
225,8,0.00019048979689025407
226,11,0.00026192347072409935
227,17,0.0004047908183917899
228,4,9.524489844512704e-05
229,9,0.00021430102150153582
230,2,4.762244922256352e-05
231,11,0.00026192347072409935
232,7,0.0001666785722789723
233,2,4.762244922256352e-05
234,8,0.00019048979689025407
235,4,9.524489844512704e-05
236,7,0.0001666785722789723
237,3,7.143367383384528e-05
238,5,0.00011905612305640879
239,7,0.0001666785722789723
240,7,0.0001666785722789723
241,2,4.762244922256352e-05
242,8,0.00019048979689025407
243,7,0.0001666785722789723
244,6,0.00014286734766769056
245,6,0.00014286734766769056
246,3,7.143367383384528e-05
247,3,7.143367383384528e-05
248,5,0.00011905612305640879
249,2,4.762244922256352e-05
250,6,0.00014286734766769056
251,7,0.0001666785722789723
252,2,4.762244922256352e-05
253,7,0.0001666785722789723
254,1,2.381122461128176e-05
255,1,2.381122461128176e-05
256,2,4.762244922256352e-05
257,3,7.143367383384528e-05
258,5,0.00011905612305640879
259,3,7.143367383384528e-05
260,3,7.143367383384528e-05
261,5,0.00011905612305640879
262,2,4.762244922256352e-05
263,4,9.524489844512704e-05
264,3,7.143367383384528e-05
265,4,9.524489844512704e-05
266,2,4.762244922256352e-05
267,4,9.524489844512704e-05
268,7,0.0001666785722789723
270,1,2.381122461128176e-05
271,1,2.381122461128176e-05
272,2,4.762244922256352e-05
274,2,4.762244922256352e-05
275,2,4.762244922256352e-05
276,3,7.143367383384528e-05
277,2,4.762244922256352e-05
279,4,9.524489844512704e-05
280,1,2.381122461128176e-05
281,2,4.762244922256352e-05
285,1,2.381122461128176e-05
286,3,7.143367383384528e-05
287,1,2.381122461128176e-05
288,1,2.381122461128176e-05
290,1,2.381122461128176e-05
292,2,4.762244922256352e-05
295,1,2.381122461128176e-05
296,1,2.381122461128176e-05
297,2,4.762244922256352e-05
301,1,2.381122461128176e-05
303,2,4.762244922256352e-05
304,1,2.381122461128176e-05
307,2,4.762244922256352e-05
312,1,2.381122461128176e-05
316,1,2.381122461128176e-05
319,1,2.381122461128176e-05
320,1,2.381122461128176e-05
321,1,2.381122461128176e-05
324,1,2.381122461128176e-05
326,1,2.381122461128176e-05
355,1,2.381122461128176e-05
364,1,2.381122461128176e-05
370,1,2.381122461128176e-05
